qi1vsqi2	qi1	qi2	Problem	pairAlgs	AlgA	AlgB	resQI1	resQI2	Agree
IGDvsGS	IGD	GS	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	A	TRUE
IGDvsED	IGD	ED	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	A	TRUE
IGDvsPFS	IGD	PFS	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	ND	FALSE
IGDvsC	IGD	C	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	A	TRUE
EPvsGD	EP	GD	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	A	TRUE
EPvsGS	EP	GS	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	A	TRUE
EPvsED	EP	ED	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	A	TRUE
EPvsPFS	EP	PFS	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	ND	FALSE
EPvsC	EP	C	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	A	TRUE
GDvsGS	GD	GS	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	A	TRUE
GDvsED	GD	ED	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	A	TRUE
GDvsPFS	GD	PFS	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	ND	FALSE
GDvsC	GD	C	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	A	TRUE
GSvsED	GS	ED	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	A	TRUE
GSvsPFS	GS	PFS	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	ND	FALSE
GSvsC	GS	C	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	A	TRUE
EDvsPFS	ED	PFS	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	ND	FALSE
EDvsC	ED	C	TRA	CELLDE_NSGAII	CELLDE	NSGAII	A	A	TRUE
PFSvsC	PFS	C	TRA	CELLDE_NSGAII	CELLDE	NSGAII	ND	A	FALSE
HVvsIGD	HV	IGD	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
HVvsEP	HV	EP	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
HVvsGD	HV	GD	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
HVvsGS	HV	GS	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
HVvsED	HV	ED	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
HVvsPFS	HV	PFS	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
HVvsC	HV	C	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
IGDvsEP	IGD	EP	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
IGDvsGD	IGD	GD	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
IGDvsGS	IGD	GS	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
IGDvsED	IGD	ED	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
IGDvsPFS	IGD	PFS	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
IGDvsC	IGD	C	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
EPvsGD	EP	GD	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
EPvsGS	EP	GS	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
EPvsED	EP	ED	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
EPvsPFS	EP	PFS	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
EPvsC	EP	C	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
GDvsGS	GD	GS	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
GDvsED	GD	ED	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
GDvsPFS	GD	PFS	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
GDvsC	GD	C	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
GSvsED	GS	ED	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
GSvsPFS	GS	PFS	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
GSvsC	GS	C	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
EDvsPFS	ED	PFS	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
EDvsC	ED	C	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
PFSvsC	PFS	C	TRA	CELLDE_PAES	CELLDE	PAES	A	A	TRUE
HVvsIGD	HV	IGD	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	B	TRUE
HVvsEP	HV	EP	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	B	TRUE
HVvsGD	HV	GD	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
HVvsGS	HV	GS	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
HVvsED	HV	ED	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
HVvsPFS	HV	PFS	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	ND	FALSE
HVvsC	HV	C	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	B	TRUE
IGDvsEP	IGD	EP	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	B	TRUE
IGDvsGD	IGD	GD	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
IGDvsGS	IGD	GS	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
IGDvsED	IGD	ED	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
IGDvsPFS	IGD	PFS	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	ND	FALSE
IGDvsC	IGD	C	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	B	TRUE
EPvsGD	EP	GD	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
EPvsGS	EP	GS	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
EPvsED	EP	ED	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	A	FALSE
EPvsPFS	EP	PFS	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	ND	FALSE
EPvsC	EP	C	TRA	CELLDE_SMPSO	CELLDE	SMPSO	B	B	TRUE
GDvsGS	GD	GS	TRA	CELLDE_SMPSO	CELLDE	SMPSO	A	A	TRUE
GDvsED	GD	ED	TRA	CELLDE_SMPSO	CELLDE	SMPSO	A	A	TRUE
GDvsPFS	GD	PFS	TRA	CELLDE_SMPSO	CELLDE	SMPSO	A	ND	FALSE
GDvsC	GD	C	TRA	CELLDE_SMPSO	CELLDE	SMPSO	A	B	FALSE
GSvsED	GS	ED	TRA	CELLDE_SMPSO	CELLDE	SMPSO	A	A	TRUE
GSvsPFS	GS	PFS	TRA	CELLDE_SMPSO	CELLDE	SMPSO	A	ND	FALSE
GSvsC	GS	C	TRA	CELLDE_SMPSO	CELLDE	SMPSO	A	B	FALSE
EDvsPFS	ED	PFS	TRA	CELLDE_SMPSO	CELLDE	SMPSO	A	ND	FALSE
EDvsC	ED	C	TRA	CELLDE_SMPSO	CELLDE	SMPSO	A	B	FALSE
PFSvsC	PFS	C	TRA	CELLDE_SMPSO	CELLDE	SMPSO	ND	B	FALSE
HVvsIGD	HV	IGD	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	A	TRUE
HVvsEP	HV	EP	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	A	TRUE
HVvsGD	HV	GD	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	A	TRUE
HVvsGS	HV	GS	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	A	TRUE
HVvsED	HV	ED	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	A	TRUE
HVvsPFS	HV	PFS	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	ND	FALSE
HVvsC	HV	C	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	B	FALSE
IGDvsEP	IGD	EP	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	A	TRUE
IGDvsGD	IGD	GD	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	A	TRUE
IGDvsGS	IGD	GS	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	A	TRUE
IGDvsED	IGD	ED	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	A	TRUE
IGDvsPFS	IGD	PFS	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	ND	FALSE
IGDvsC	IGD	C	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	B	FALSE
EPvsGD	EP	GD	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	A	TRUE
EPvsGS	EP	GS	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	A	TRUE
EPvsED	EP	ED	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	A	TRUE
EPvsPFS	EP	PFS	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	ND	FALSE
EPvsC	EP	C	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	B	FALSE
GDvsGS	GD	GS	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	A	TRUE
GDvsED	GD	ED	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	A	TRUE
GDvsPFS	GD	PFS	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	ND	FALSE
GDvsC	GD	C	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	B	FALSE
GSvsED	GS	ED	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	A	TRUE
GSvsPFS	GS	PFS	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	ND	FALSE
GSvsC	GS	C	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	B	FALSE
EDvsPFS	ED	PFS	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	ND	FALSE
EDvsC	ED	C	TRA	CELLDE_SPEA2	CELLDE	SPEA2	A	B	FALSE
PFSvsC	PFS	C	TRA	CELLDE_SPEA2	CELLDE	SPEA2	ND	B	FALSE
HVvsIGD	HV	IGD	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
HVvsEP	HV	EP	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
HVvsGD	HV	GD	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
HVvsGS	HV	GS	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	A	FALSE
HVvsED	HV	ED	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
HVvsPFS	HV	PFS	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
HVvsC	HV	C	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	ND	FALSE
IGDvsEP	IGD	EP	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
IGDvsGD	IGD	GD	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
IGDvsGS	IGD	GS	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	A	FALSE
IGDvsED	IGD	ED	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
IGDvsPFS	IGD	PFS	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
IGDvsC	IGD	C	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	ND	FALSE
EPvsGD	EP	GD	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
EPvsGS	EP	GS	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	A	FALSE
EPvsED	EP	ED	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
EPvsPFS	EP	PFS	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
EPvsC	EP	C	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	ND	FALSE
GDvsGS	GD	GS	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	A	FALSE
GDvsED	GD	ED	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
GDvsPFS	GD	PFS	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
GDvsC	GD	C	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	ND	FALSE
GSvsED	GS	ED	TRA	MOCELL_NSGAII	MOCELL	NSGAII	A	B	FALSE
GSvsPFS	GS	PFS	TRA	MOCELL_NSGAII	MOCELL	NSGAII	A	B	FALSE
GSvsC	GS	C	TRA	MOCELL_NSGAII	MOCELL	NSGAII	A	ND	FALSE
EDvsPFS	ED	PFS	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
EDvsC	ED	C	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	ND	FALSE
PFSvsC	PFS	C	TRA	MOCELL_NSGAII	MOCELL	NSGAII	B	ND	FALSE
HVvsIGD	HV	IGD	TRA	MOCELL_PAES	MOCELL	PAES	ND	B	FALSE
HVvsEP	HV	EP	TRA	MOCELL_PAES	MOCELL	PAES	ND	ND	TRUE
HVvsGD	HV	GD	TRA	MOCELL_PAES	MOCELL	PAES	ND	A	FALSE
HVvsGS	HV	GS	TRA	MOCELL_PAES	MOCELL	PAES	ND	B	FALSE
HVvsED	HV	ED	TRA	MOCELL_PAES	MOCELL	PAES	ND	B	FALSE
HVvsPFS	HV	PFS	TRA	MOCELL_PAES	MOCELL	PAES	ND	A	FALSE
HVvsC	HV	C	TRA	MOCELL_PAES	MOCELL	PAES	ND	A	FALSE
IGDvsEP	IGD	EP	TRA	MOCELL_PAES	MOCELL	PAES	B	ND	FALSE
IGDvsGD	IGD	GD	TRA	MOCELL_PAES	MOCELL	PAES	B	A	FALSE
IGDvsGS	IGD	GS	TRA	MOCELL_PAES	MOCELL	PAES	B	B	TRUE
IGDvsED	IGD	ED	TRA	MOCELL_PAES	MOCELL	PAES	B	B	TRUE
IGDvsPFS	IGD	PFS	TRA	MOCELL_PAES	MOCELL	PAES	B	A	FALSE
IGDvsC	IGD	C	TRA	MOCELL_PAES	MOCELL	PAES	B	A	FALSE
EPvsGD	EP	GD	TRA	MOCELL_PAES	MOCELL	PAES	ND	A	FALSE
EPvsGS	EP	GS	TRA	MOCELL_PAES	MOCELL	PAES	ND	B	FALSE
EPvsED	EP	ED	TRA	MOCELL_PAES	MOCELL	PAES	ND	B	FALSE
EPvsPFS	EP	PFS	TRA	MOCELL_PAES	MOCELL	PAES	ND	A	FALSE
EPvsC	EP	C	TRA	MOCELL_PAES	MOCELL	PAES	ND	A	FALSE
GDvsGS	GD	GS	TRA	MOCELL_PAES	MOCELL	PAES	A	B	FALSE
GDvsED	GD	ED	TRA	MOCELL_PAES	MOCELL	PAES	A	B	FALSE
GDvsPFS	GD	PFS	TRA	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
GDvsC	GD	C	TRA	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
GSvsED	GS	ED	TRA	MOCELL_PAES	MOCELL	PAES	B	B	TRUE
GSvsPFS	GS	PFS	TRA	MOCELL_PAES	MOCELL	PAES	B	A	FALSE
GSvsC	GS	C	TRA	MOCELL_PAES	MOCELL	PAES	B	A	FALSE
EDvsPFS	ED	PFS	TRA	MOCELL_PAES	MOCELL	PAES	B	A	FALSE
EDvsC	ED	C	TRA	MOCELL_PAES	MOCELL	PAES	B	A	FALSE
PFSvsC	PFS	C	TRA	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
HVvsIGD	HV	IGD	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
HVvsEP	HV	EP	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
HVvsGD	HV	GD	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
HVvsGS	HV	GS	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
HVvsED	HV	ED	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
HVvsPFS	HV	PFS	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
HVvsC	HV	C	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
IGDvsEP	IGD	EP	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
IGDvsGD	IGD	GD	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
IGDvsGS	IGD	GS	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
IGDvsED	IGD	ED	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
IGDvsPFS	IGD	PFS	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
IGDvsC	IGD	C	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
EPvsGD	EP	GD	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
EPvsGS	EP	GS	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
EPvsED	EP	ED	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
EPvsPFS	EP	PFS	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
EPvsC	EP	C	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
GDvsGS	GD	GS	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
GDvsED	GD	ED	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
GDvsPFS	GD	PFS	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
GDvsC	GD	C	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
GSvsED	GS	ED	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
GSvsPFS	GS	PFS	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
GSvsC	GS	C	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
EDvsPFS	ED	PFS	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
EDvsC	ED	C	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
PFSvsC	PFS	C	TRA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
HVvsIGD	HV	IGD	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
HVvsEP	HV	EP	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
HVvsGD	HV	GD	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	A	FALSE
HVvsGS	HV	GS	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
HVvsED	HV	ED	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
HVvsPFS	HV	PFS	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
HVvsC	HV	C	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
IGDvsEP	IGD	EP	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
IGDvsGD	IGD	GD	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	A	FALSE
IGDvsGS	IGD	GS	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
IGDvsED	IGD	ED	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
IGDvsPFS	IGD	PFS	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
IGDvsC	IGD	C	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
EPvsGD	EP	GD	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	A	FALSE
EPvsGS	EP	GS	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
EPvsED	EP	ED	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
EPvsPFS	EP	PFS	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
EPvsC	EP	C	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
GDvsGS	GD	GS	TRA	MOCELL_SPEA2	MOCELL	SPEA2	A	B	FALSE
GDvsED	GD	ED	TRA	MOCELL_SPEA2	MOCELL	SPEA2	A	B	FALSE
GDvsPFS	GD	PFS	TRA	MOCELL_SPEA2	MOCELL	SPEA2	A	B	FALSE
GDvsC	GD	C	TRA	MOCELL_SPEA2	MOCELL	SPEA2	A	B	FALSE
GSvsED	GS	ED	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
GSvsPFS	GS	PFS	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
GSvsC	GS	C	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
EDvsPFS	ED	PFS	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
EDvsC	ED	C	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
PFSvsC	PFS	C	TRA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
HVvsIGD	HV	IGD	TRA	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
HVvsEP	HV	EP	TRA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
HVvsGD	HV	GD	TRA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
HVvsGS	HV	GS	TRA	NSGAII_PAES	NSGAII	PAES	A	B	FALSE
HVvsED	HV	ED	TRA	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
HVvsPFS	HV	PFS	TRA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
HVvsC	HV	C	TRA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
IGDvsEP	IGD	EP	TRA	NSGAII_PAES	NSGAII	PAES	ND	A	FALSE
IGDvsGD	IGD	GD	TRA	NSGAII_PAES	NSGAII	PAES	ND	A	FALSE
IGDvsGS	IGD	GS	TRA	NSGAII_PAES	NSGAII	PAES	ND	B	FALSE
IGDvsED	IGD	ED	TRA	NSGAII_PAES	NSGAII	PAES	ND	ND	TRUE
IGDvsPFS	IGD	PFS	TRA	NSGAII_PAES	NSGAII	PAES	ND	A	FALSE
IGDvsC	IGD	C	TRA	NSGAII_PAES	NSGAII	PAES	ND	A	FALSE
EPvsGD	EP	GD	TRA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
EPvsGS	EP	GS	TRA	NSGAII_PAES	NSGAII	PAES	A	B	FALSE
EPvsED	EP	ED	TRA	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
EPvsPFS	EP	PFS	TRA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
EPvsC	EP	C	TRA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
GDvsGS	GD	GS	TRA	NSGAII_PAES	NSGAII	PAES	A	B	FALSE
GDvsED	GD	ED	TRA	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
GDvsPFS	GD	PFS	TRA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
GDvsC	GD	C	TRA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
GSvsED	GS	ED	TRA	NSGAII_PAES	NSGAII	PAES	B	ND	FALSE
GSvsPFS	GS	PFS	TRA	NSGAII_PAES	NSGAII	PAES	B	A	FALSE
GSvsC	GS	C	TRA	NSGAII_PAES	NSGAII	PAES	B	A	FALSE
EDvsPFS	ED	PFS	TRA	NSGAII_PAES	NSGAII	PAES	ND	A	FALSE
EDvsC	ED	C	TRA	NSGAII_PAES	NSGAII	PAES	ND	A	FALSE
PFSvsC	PFS	C	TRA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
HVvsIGD	HV	IGD	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
HVvsEP	HV	EP	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
HVvsGD	HV	GD	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
HVvsGS	HV	GS	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
HVvsED	HV	ED	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
HVvsPFS	HV	PFS	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	ND	FALSE
HVvsC	HV	C	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
IGDvsEP	IGD	EP	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
IGDvsGD	IGD	GD	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
IGDvsGS	IGD	GS	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
IGDvsED	IGD	ED	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
IGDvsPFS	IGD	PFS	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	ND	FALSE
IGDvsC	IGD	C	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
EPvsGD	EP	GD	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
EPvsGS	EP	GS	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
EPvsED	EP	ED	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
EPvsPFS	EP	PFS	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	ND	FALSE
EPvsC	EP	C	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
GDvsGS	GD	GS	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
GDvsED	GD	ED	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
GDvsPFS	GD	PFS	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	ND	FALSE
GDvsC	GD	C	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
GSvsED	GS	ED	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
GSvsPFS	GS	PFS	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	ND	FALSE
GSvsC	GS	C	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
EDvsPFS	ED	PFS	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	ND	FALSE
EDvsC	ED	C	TRA	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
PFSvsC	PFS	C	TRA	NSGAII_SMPSO	NSGAII	SMPSO	ND	B	FALSE
HVvsIGD	HV	IGD	TRA	NSGAII_SPEA2	NSGAII	SPEA2	B	B	TRUE
HVvsEP	HV	EP	TRA	NSGAII_SPEA2	NSGAII	SPEA2	B	B	TRUE
HVvsGD	HV	GD	TRA	NSGAII_SPEA2	NSGAII	SPEA2	B	A	FALSE
HVvsGS	HV	GS	TRA	NSGAII_SPEA2	NSGAII	SPEA2	B	B	TRUE
HVvsED	HV	ED	TRA	NSGAII_SPEA2	NSGAII	SPEA2	B	B	TRUE
HVvsPFS	HV	PFS	TRA	NSGAII_SPEA2	NSGAII	SPEA2	B	ND	FALSE
HVvsC	HV	C	TRA	NSGAII_SPEA2	NSGAII	SPEA2	B	B	TRUE
IGDvsEP	IGD	EP	TRA	NSGAII_SPEA2	NSGAII	SPEA2	B	B	TRUE
IGDvsGD	IGD	GD	TRA	NSGAII_SPEA2	NSGAII	SPEA2	B	A	FALSE
IGDvsGS	IGD	GS	TRA	NSGAII_SPEA2	NSGAII	SPEA2	B	B	TRUE
IGDvsED	IGD	ED	TRA	NSGAII_SPEA2	NSGAII	SPEA2	B	B	TRUE
